Gênesis (GEN)
Capítulo 63: 19
Capítulo 64: 12
Capítulo 65: 25
Capítulo 66: 24

Jeremias (JER)
Capítulos: 52
Versículos por capítulo:
Capítulo 1: 19
Capítulo 2: 37
Capítulo 3: 25
Capítulo 4: 31
Capítulo 5: 31
Capítulo 6: 30
Capítulo 7: 34
Capítulo 8: 22
Capítulo 9: 26
Capítulo 10: 25
Capítulo 11: 23
Capítulo 12: 17
Capítulo 13: 27
Capítulo 14: 22
Capítulo 15: 21
Capítulo 16: 21
Capítulo 17: 27
Capítulo 18: 23
Capítulo 19: 15
Capítulo 20: 18
Capítulo 21: 14
Capítulo 22: 30
Capítulo 23: 40
Capítulo 24: 10
Capítulo 25: 38
Capítulo 26: 24
Capítulo 27: 22
Capítulo 28: 17
Capítulo 29: 32
Capítulo 30: 24
Capítulo 31: 40
Capítulo 32: 44
Capítulo 33: 26
Capítulo 34: 22
Capítulo 35: 19
Capítulo 36: 32
Capítulo 37: 21
Capítulo 38: 28
Capítulo 39: 18
Capítulo 40: 16
Capítulo 41: 18
Capítulo 42: 22
Capítulo 43: 13
Capítulo 44: 30
Capítulo 45: 5
Capítulo 46: 28
Capítulo 47: 7
Capítulo 48: 47
Capítulo 49: 39
Capítulo 50: 46
Capítulo 51: 64
Capítulo 52: 34

Lamentações (LAM)
Capítulos: 5
Versículos por capítulo:
Capítulo 1: 22
Capítulo 2: 22
Capítulo 3: 66
Capítulo 4: 22
Capítulo 5: 22

Ezequiel (EZK)
Capítulos: 48
Versículos por capítulo:
Capítulo 1: 28
Capítulo 2: 10
Capítulo 3: 27
Capítulo 4: 17
Capítulo 5: 17
Capítulo 6: 14
Capítulo 7: 27
Capítulo 8: 18
Capítulo 9: 11
Capítulo 10: 22
Capítulo 11: 25
Capítulo 12: 28
Capítulo 13: 23
Capítulo 14: 23
Capítulo 15: 8
Capítulo 16: 63
Capítulo 17: 24
Capítulo 18: 32
Capítulo 19: 14
Capítulo 20: 49
Capítulo 21: 32
Capítulo 22: 31
Capítulo 23: 49
Capítulo 24: 27
Capítulo 25: 17
Capítulo 26: 21
Capítulo 27: 36
Capítulo 28: 26
Capítulo 29: 21
Capítulo 30: 26
Capítulo 31: 18
Capítulo 32: 32
Capítulo 33: 33
